iter	Passed	Remaining
0	30	7608
1	51	6397
2	60	4955
3	67	4181
4	75	3694
5	83	3384
6	93	3238
7	101	3057
8	108	2908
9	117	2815
10	124	2711
11	132	2628
12	140	2553
13	147	2487
14	157	2461
15	164	2398
16	171	2355
17	179	2316
18	192	2344
19	207	2380
20	222	2423
21	237	2458
22	245	2423
23	253	2385
24	260	2348
25	272	2345
26	279	2312
27	287	2275
28	294	2247
29	302	2218
30	310	2192
31	317	2161
32	324	2133
33	332	2110
34	339	2082
35	346	2059
36	354	2039
37	361	2016
38	371	2011
39	379	1993
40	387	1977
41	398	1971
42	406	1955
43	423	1981
44	431	1963
45	444	1970
46	452	1952
47	460	1936
48	468	1920
49	477	1911
50	486	1897
51	494	1881
52	502	1868
53	510	1852
54	518	1837
55	526	1824
56	534	1810
57	542	1795
58	550	1780
59	558	1768
60	569	1764
61	577	1750
62	587	1743
63	595	1729
64	603	1717
65	618	1725
66	626	1711
67	636	1703
68	644	1691
69	654	1683
70	662	1671
71	677	1674
72	686	1664
73	697	1657
74	704	1644
75	713	1632
76	721	1620
77	735	1621
78	744	1610
79	755	1604
80	763	1592
81	772	1582
82	780	1570
83	792	1565
84	804	1561
85	814	1553
86	827	1551
87	835	1538
88	848	1535
89	859	1527
90	866	1514
91	874	1501
92	881	1488
93	889	1476
94	897	1464
95	904	1451
96	916	1445
97	924	1433
98	933	1423
99	943	1414
100	954	1407
101	962	1396
102	971	1386
103	979	1375
104	989	1366
105	997	1355
106	1007	1346
107	1022	1344
108	1034	1338
109	1041	1326
110	1052	1318
111	1063	1310
112	1074	1303
113	1084	1293
114	1091	1281
115	1099	1270
116	1107	1258
117	1119	1252
118	1130	1244
119	1141	1236
120	1149	1225
121	1157	1214
122	1165	1203
123	1173	1192
124	1182	1182
125	1195	1176
126	1207	1169
127	1222	1165
128	1232	1156
129	1245	1149
130	1253	1138
131	1261	1127
132	1269	1116
133	1277	1105
134	1284	1094
135	1292	1083
136	1301	1073
137	1310	1063
138	1317	1052
139	1325	1041
140	1332	1030
141	1342	1020
142	1349	1010
143	1357	999
144	1364	988
145	1372	977
146	1379	966
147	1388	956
148	1399	948
149	1413	942
150	1421	931
151	1429	921
152	1440	913
153	1452	905
154	1464	897
155	1471	886
156	1479	876
157	1486	865
158	1494	855
159	1502	844
160	1509	834
161	1517	824
162	1525	813
163	1540	807
164	1554	800
165	1569	794
166	1582	786
167	1592	777
168	1601	767
169	1619	761
170	1633	754
171	1641	744
172	1655	736
173	1665	727
174	1673	717
175	1683	707
176	1694	698
177	1707	690
178	1716	680
179	1731	673
180	1740	663
181	1749	653
182	1757	643
183	1767	633
184	1775	623
185	1784	613
186	1794	604
187	1802	594
188	1810	584
189	1821	575
190	1830	565
191	1838	555
192	1846	545
193	1855	535
194	1862	525
195	1871	515
196	1887	507
197	1895	497
198	1903	487
199	1914	478
200	1923	468
201	1933	459
202	1941	449
203	1951	440
204	1959	430
205	1968	420
206	1976	410
207	1985	400
208	1998	392
209	2008	382
210	2016	372
211	2024	362
212	2033	353
213	2041	343
214	2050	333
215	2058	323
216	2067	314
217	2075	304
218	2084	295
219	2092	285
220	2103	275
221	2114	266
222	2122	256
223	2132	247
224	2140	237
225	2149	228
226	2160	218
227	2169	209
228	2176	199
229	2184	189
230	2193	180
231	2203	170
232	2217	161
233	2232	152
234	2240	142
235	2250	133
236	2260	123
237	2269	114
238	2279	104
239	2287	95
240	2296	85
241	2310	76
242	2319	66
243	2329	57
244	2337	47
245	2347	38
246	2355	28
247	2364	19
248	2373	9
249	2382	0
